Relation, count, x-Ratio, y-Ratio, x-OOV, y-OOV, x-AveOOVLength, y-AveOOVLength
RelatedTo, 1703582, 0.131, 0.125, 0.596, 0.19, 1.359, 1.54
IsA, 230137, 0.124, 0.188, 0.416, 0.29, 2.287, 2.51
HasContext, 232935, 0.140, 0.015, 0.700, 0.07, 1.347, 2.21
Synonym, 222156, 0.094, 0.096, 0.296, 0.30, 1.738, 1.75
FormOf, 378859, 0.128, 0.117, 0.774, 0.67, 1.299, 1.28
DistinctFrom, 3315, 0.152, 0.154, 0.061, 0.07, 1.252, 1.23
DerivedFrom, 325374, 0.121, 0.148, 0.822, 0.20, 1.238, 1.08
InstanceOf, 1480, 0.088, 0.094, 0.529, 0.28, 1.507, 1.74
UsedFor, 39790, 0.098, 0.102, 0.448, 0.79, 2.394, 2.80
AtLocation, 27797, 0.194, 0.051, 0.311, 0.28, 2.182, 2.26
Antonym, 19066, 0.124, 0.117, 0.296, 0.32, 1.441, 1.50
dbpedia, 12305, 0.086, 0.081, 0.367, 0.30, 1.860, 1.96
EtymologicallyRelatedTo, 32075, 0.141, 0.151, 0.642, 0.31, 1.284, 1.26
CapableOf, 22677, 0.554, 0.074, 0.235, 0.93, 2.205, 2.81
SimilarTo, 30280, 0.077, 0.079, 0.233, 0.23, 1.727, 1.75
HasA, 5545, 0.178, 0.171, 0.493, 0.68, 2.716, 3.06
MotivatedByGoal, 9489, 0.077, 0.112, 0.800, 0.79, 2.522, 2.87
HasFirstSubevent, 3347, 0.099, 0.050, 0.807, 0.82, 2.499, 2.88
PartOf, 13077, 0.054, 0.058, 0.150, 0.12, 1.626, 1.83
MannerOf, 12715, 0.067, 0.062, 0.021, 0.00, 2.149, 2.33
HasSubevent, 25238, 0.036, 0.045, 0.798, 0.81, 2.505, 2.78
HasProperty, 8433, 0.156, 0.125, 0.475, 0.52, 2.760, 3.48
HasPrerequisite, 22710, 0.076, 0.105, 0.818, 0.79, 2.535, 2.94
Causes, 16801, 0.015, 0.049, 0.801, 0.70, 2.532, 2.84
ReceivesAction, 6037, 0.138, 0.031, 0.354, 0.85, 2.704, 3.61
Entails, 405, 0.077, 0.040, 0.015, 0.01, 2.286, 2.50
NotDesires, 2886, 0.980, 0.090, 0.024, 0.78, 2.000, 2.88
DefinedAs, 2173, 0.144, 0.114, 0.341, 0.88, 2.617, 3.99
HasLastSubevent, 2874, 0.084, 0.040, 0.777, 0.74, 2.491, 2.80
Desires, 3170, 0.903, 0.099, 0.076, 0.79, 2.165, 2.93
CausesDesire, 4688, 0.114, 0.088, 0.706, 0.81, 2.812, 2.50
MadeOf, 545, 0.099, 0.061, 0.203, 0.25, 2.018, 3.03
CreatedBy, 263, 0.148, 0.421, 0.133, 0.33, 2.028, 2.62
NotHasProperty, 327, 0.128, 0.073, 0.402, 0.42, 2.617, 3.51
NotCapableOf, 329, 0.354, 0.057, 0.461, 0.84, 2.418, 3.07
LocatedNear, 49, 0.146, 0.238, 0.180, 0.16, 1.500, 1.67
EtymologicallyDerivedFrom, 71, 0.143, 0.164, 0.806, 0.24, 1.153, 1.83
SymbolOf, 4, 0.000, 0.200, 0.400, 0.00, 1.667, 0.00
