Relation, count, x-Ratio, y-Ratio, x-OOV, y-OOV, x-AveOOVLength, y-AveOOVLength
RelatedTo, 1703582, 0.547, 0.543, 0.596, 0.19, 1.359, 1.54
IsA, 230137, 0.620, 0.712, 0.416, 0.29, 2.287, 2.51
HasContext, 232935, 0.549, 0.312, 0.700, 0.07, 1.347, 2.21
Synonym, 222156, 0.450, 0.447, 0.296, 0.30, 1.738, 1.75
FormOf, 378859, 0.470, 0.485, 0.774, 0.67, 1.299, 1.28
DistinctFrom, 3315, 0.522, 0.458, 0.061, 0.07, 1.252, 1.23
DerivedFrom, 325374, 0.416, 0.537, 0.822, 0.20, 1.238, 1.08
InstanceOf, 1480, 0.455, 0.881, 0.529, 0.28, 1.507, 1.74
UsedFor, 39790, 0.853, 0.432, 0.448, 0.79, 2.394, 2.80
AtLocation, 27797, 0.882, 0.793, 0.311, 0.28, 2.182, 2.26
Antonym, 19066, 0.386, 0.333, 0.296, 0.32, 1.441, 1.50
dbpedia, 12305, 0.409, 0.300, 0.367, 0.30, 1.860, 1.96
EtymologicallyRelatedTo, 32075, 0.521, 0.554, 0.642, 0.31, 1.284, 1.26
CapableOf, 22677, 0.829, 0.364, 0.235, 0.93, 2.205, 2.81
SimilarTo, 30280, 0.204, 0.209, 0.233, 0.23, 1.727, 1.75
HasA, 5545, 0.765, 0.724, 0.493, 0.68, 2.716, 3.06
MotivatedByGoal, 9489, 0.371, 0.271, 0.800, 0.79, 2.522, 2.87
HasFirstSubevent, 3347, 0.370, 0.247, 0.807, 0.82, 2.499, 2.88
PartOf, 13077, 0.510, 0.491, 0.150, 0.12, 1.626, 1.83
MannerOf, 12715, 0.372, 0.387, 0.021, 0.00, 2.149, 2.33
HasSubevent, 25238, 0.278, 0.299, 0.798, 0.81, 2.505, 2.78
HasProperty, 8433, 0.731, 0.313, 0.475, 0.52, 2.760, 3.48
HasPrerequisite, 22710, 0.356, 0.392, 0.818, 0.79, 2.535, 2.94
Causes, 16801, 0.271, 0.259, 0.801, 0.70, 2.532, 2.84
ReceivesAction, 6037, 0.805, 0.169, 0.354, 0.85, 2.704, 3.61
Entails, 405, 0.403, 0.357, 0.015, 0.01, 2.286, 2.50
NotDesires, 2886, 0.995, 0.291, 0.024, 0.78, 2.000, 2.88
DefinedAs, 2173, 0.525, 0.700, 0.341, 0.88, 2.617, 3.99
HasLastSubevent, 2874, 0.332, 0.281, 0.777, 0.74, 2.491, 2.80
Desires, 3170, 0.935, 0.458, 0.076, 0.79, 2.165, 2.93
CausesDesire, 4688, 0.371, 0.370, 0.706, 0.81, 2.812, 2.50
MadeOf, 545, 0.892, 0.922, 0.203, 0.25, 2.018, 3.03
CreatedBy, 263, 0.721, 0.708, 0.133, 0.33, 2.028, 2.62
NotHasProperty, 327, 0.714, 0.314, 0.402, 0.42, 2.617, 3.51
NotCapableOf, 329, 0.708, 0.358, 0.461, 0.84, 2.418, 3.07
LocatedNear, 49, 0.878, 0.857, 0.180, 0.16, 1.500, 1.67
EtymologicallyDerivedFrom, 71, 0.429, 0.527, 0.806, 0.24, 1.153, 1.83
SymbolOf, 4, 0.333, 0.400, 0.400, 0.00, 1.667, 0.00
